Date,Probe,walen1,walen2,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,r_W,theta_w,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean
2015-09-04 11:42:54.163000+00:00,3,False,False,True,4.187,8.289,-5.061,9.712,2.228,95.219,2015-09-04 11:42:06.677673600+00:00,361,421,441,501,12.20265562657467,0.718,-6.098,23.981,0.242,-6.55,23.697,4.314,-12.168,26.341,4.314,-12.168,26.341,1.226,1.469,3.813,3.756,-177.936,98.475,-29.215,-185.055,100.436,-27.341,-109.934,72.09,0.481,-104.216,69.995,-2.241,8940752.0,2723878.25,8080510.5,2984741.5,9866824.0,2815842.25,8780133.0,3104036.5,0.487,
2015-09-04 12:09:34.083000+00:00,3,False,False,True,4.034,8.579,-5.224,10.045,4.261,82.806,2015-09-04 12:10:56.414752+00:00,462,491,511,571,32.954506200901335,12.783,-16.962,50.775,14.35,-17.306,51.169,5.522,7.87,29.89,5.522,7.87,29.89,0.921,1.028,13.986,13.969,-0.208,-68.553,-107.286,-5.955,-63.351,-84.177,-21.369,-292.005,-230.938,-24.258,-302.832,-232.375,5164746.0,918927.5,5110705.5,920716.0625,6133372.5,699492.5625,5806047.0,718344.375,0.403,
2015-09-04 13:25:44.193000+00:00,3,False,False,True,3.531,9.344,-5.479,10.832,2.044,106.401,2015-09-04 13:26:21.796606848+00:00,188,248,268,328,79.00356412017575,11.363,-15.127,17.602,10.047,-13.048,18.019,-7.72,17.597,25.244,-7.72,17.597,25.244,1.005,1.061,7.292,6.914,-157.819,-27.729,34.468,-156.459,-26.311,46.312,-15.985,-88.113,-151.177,-9.043,-103.467,-152.285,6026962.0,865001.1875,5874702.5,938434.5625,7160209.5,832803.8125,6949639.0,906870.875,0.241,
2015-09-06 13:27:44.082000+00:00,3,False,False,True,3.757,9.328,-5.543,10.851,0.634,98.066,2015-09-06 13:26:20.778924032+00:00,293,353,213,273,15.962231439541416,6.579,-9.365,7.05,6.575,-9.105,6.931,4.522,-14.684,10.765,4.522,-14.684,10.765,1.104,1.114,1.664,1.957,-0.288,-181.873,-46.832,-4.606,-181.71,-40.786,-66.436,-51.935,-53.442,-47.726,-47.524,-92.035,4638178.5,2689286.5,4635443.5,2630598.5,6127647.0,3541534.25,6066517.0,3404597.0,0.538,
2015-09-06 12:21:54.081000+00:00,3,False,False,True,4.191,8.695,-5.359,10.214,0.879,94.742,2015-09-06 12:22:43.101754112+00:00,806,866,886,946,25.240721212980198,4.79,-11.372,29.164,5.057,-11.466,27.972,14.038,0.037,33.248,14.038,0.037,33.248,1.39,1.386,5.205,5.946,-168.485,-42.664,-85.903,-165.309,-41.718,-127.412,-142.831,-354.663,-296.422,-135.799,-362.422,-305.439,3388224.5,946956.5,4548678.0,1080852.125,3706983.25,862547.9375,4847158.5,996780.9375,0.164,
2015-09-09 08:43:24.094000+00:00,3,False,False,True,5.292,6.002,-3.354,6.875,2.527,62.466,2015-09-09 08:43:54.401687040+00:00,924,982,1002,1062,24.258,36.913,-38.682,16.437,36.966,-37.09,15.14,13.043,-22.828,19.312,13.043,-22.828,19.312,2.217,2.28,11.57,11.926,40.848,-42.263,-2.496,38.976,-47.211,-7.124,-77.846,-76.323,-191.322,-88.553,-88.679,-191.335,3313314.25,951983.25,3272281.75,1071336.25,3246400.0,1037156.125,3198662.25,1119137.25,0.393,
2015-09-09 08:45:04.146000+00:00,3,False,False,True,5.292,6.025,-3.375,6.906,2.527,62.485,2015-09-09 08:43:54.401687040+00:00,257,315,335,395,24.259,36.901,-38.698,16.426,36.954,-37.108,15.129,13.041,-22.829,19.311,13.041,-22.829,19.311,2.217,2.28,11.57,11.926,40.829,-42.28,-2.509,38.96,-47.231,-7.142,-77.853,-76.314,-191.321,-88.567,-88.675,-191.335,3313314.25,951983.25,3272281.75,1071336.25,3246400.0,1037156.125,3198662.25,1119137.25,0.393,
2015-09-09 14:09:44.154000+00:00,3,False,False,True,3.817,9.615,-5.607,11.131,2.447,37.765,2015-09-09 14:08:52.731954048+00:00,328,388,248,308,33.014,14.213,-10.307,22.198,14.18,-10.311,22.259,1.554,0.747,4.704,1.554,0.747,4.704,0.645,0.688,13.599,13.313,99.797,-28.195,-56.965,111.02,-26.781,-58.352,-141.288,-56.706,-205.918,-142.148,-56.055,-205.928,6489620.5,577294.0625,6369251.5,594265.4375,7188158.0,533772.375,6950798.5,556536.125,7.12,
2015-09-09 14:08:24.203000+00:00,3,False,False,True,3.824,9.607,-5.608,11.124,2.447,37.765,2015-09-09 14:08:52.731954048+00:00,861,921,781,841,33.014,14.213,-10.307,22.198,14.18,-10.311,22.259,1.554,0.747,4.704,1.554,0.747,4.704,0.645,0.688,13.599,13.313,99.797,-28.195,-56.965,111.02,-26.781,-58.352,-141.288,-56.706,-205.918,-142.148,-56.055,-205.928,6489620.5,577294.0625,6369251.5,594265.4375,7188158.0,533772.375,6950798.5,556536.125,7.12,
2015-09-09 14:11:14.156000+00:00,3,False,False,True,3.805,9.628,-5.605,11.14,2.883,34.977,2015-09-09 14:11:51.308175616+00:00,1000,1060,1080,1140,6.336,15.55,-7.484,32.047,14.868,-7.247,32.736,12.026,-4.019,20.314,12.026,-4.019,20.314,0.696,0.861,10.918,10.464,-25.779,-55.883,-92.786,-20.156,-40.016,-68.087,-109.54,-142.436,-306.343,-110.055,-137.977,-306.395,5430386.0,703416.625,5057292.5,757062.9375,5578407.5,698258.5,5315195.0,731250.75,0.565,
